 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
7638,0.004,255,255,255,49.989,17.363,0.186,49.956,17.330,0.066,0.066
7639,0.004,255,255,255,9.683,17.494,0.186,9.650,17.462,0.066,0.066
7640,0.332,255,255,255,8.583,17.891,2.072,8.271,17.593,0.656,0.591
7641,0.009,255,255,255,11.061,17.659,0.317,11.028,17.593,0.066,0.131
7642,0.004,255,255,255,64.431,17.626,0.186,64.398,17.593,0.066,0.066
7643,1.241,255,255,255,65.910,20.786,16.639,64.136,17.659,2.823,5.580
7644,0.017,255,255,255,64.480,17.823,0.688,64.398,17.724,0.197,0.197
7645,0.009,255,255,255,9.486,17.856,0.317,9.453,17.790,0.066,0.131
7646,0.754,255,255,255,56.656,18.343,3.131,56.192,17.856,0.985,0.985
7647,0.004,255,255,255,12.571,17.954,0.186,12.538,17.921,0.066,0.066
7648,0.004,255,255,255,9.354,18.085,0.186,9.322,18.052,0.066,0.066
7649,0.009,255,255,255,9.289,18.249,0.317,9.256,18.184,0.066,0.131
7650,0.004,255,255,255,28.129,18.217,0.186,28.096,18.184,0.066,0.066
7651,0.004,255,255,255,10.667,18.348,0.186,10.635,18.315,0.066,0.066
7652,0.004,255,255,255,9.158,18.414,0.186,9.125,18.381,0.066,0.066
7653,0.004,255,255,255,41.783,18.414,0.186,41.750,18.381,0.066,0.066
7654,0.004,255,255,255,9.092,18.545,0.186,9.059,18.512,0.066,0.066
7655,0.017,255,255,255,64.907,18.643,0.688,64.792,18.512,0.197,0.263
7656,0.004,255,255,255,10.470,18.610,0.186,10.438,18.578,0.066,0.066
7657,0.026,255,255,255,8.993,18.753,0.743,8.862,18.643,0.263,0.263
7658,0.004,255,255,255,6.597,18.807,0.186,6.565,18.775,0.066,0.066
7659,0.702,255,255,255,46.403,19.282,3.038,45.952,18.775,0.919,0.985
7660,0.004,255,255,255,6.335,18.873,0.186,6.302,18.840,0.066,0.066
7661,0.026,255,255,255,65.120,18.950,1.060,64.989,18.840,0.263,0.263
7662,0.741,255,255,255,16.603,19.455,3.186,16.083,18.972,1.050,0.985
7663,0.560,255,255,255,12.434,19.515,2.776,12.013,19.103,0.853,0.853
7664,0.702,255,255,255,31.524,19.588,3.093,31.050,19.103,0.985,0.985
